model,task,item_id,judge_name,ai_score,ai_reason,human_score
gpt-oss-20b,summarization,sum_education,gpt-oss-120b,10.0,(mean of 10 repeated passes),6.667
qwen-3.6-27b,summarization,sum_agriculture,gpt-oss-20b,10.0,Accurately captures all key facts without adding or omitting anything.,6.667
qwen-3.6-27b,summarization,sum_agriculture,gpt-oss-120b,10.0,(mean of 10 repeated passes),6.667
gpt-oss-120b,summarization,sum_agriculture,gpt-oss-20b,10.0,Accurately captures all key facts without adding or omitting details.,6.667
gpt-oss-120b,summarization,sum_agriculture,gpt-oss-120b,10.0,(mean of 10 repeated passes),6.667
gpt-oss-20b,summarization,sum_agriculture,gpt-oss-20b,10.0,Accurately summarizes all key facts without adding or omitting details.,6.667
gpt-oss-20b,summarization,sum_agriculture,gpt-oss-120b,9.0,(mean of 10 repeated passes),6.667
qwen-3.6-27b,summarization,sum_technology,gpt-oss-20b,10.0,Accurately summarizes all key facts without adding or omitting anything.,6.667
qwen-3.6-27b,summarization,sum_technology,gpt-oss-120b,8.1,(mean of 10 repeated passes),6.667
gpt-oss-120b,summarization,sum_technology,gpt-oss-20b,10.0,Accurately captures all key facts without adding or omitting.,6.0
gpt-oss-120b,summarization,sum_technology,gpt-oss-120b,10.0,(mean of 10 repeated passes),6.0
gpt-oss-20b,summarization,sum_technology,qwen-3.6-27b,10.0,"The summary accurately captures all key facts from the article, including job creation, demand drivers, facility usage, and official reactions, without adding any invented details.",6.667
gpt-oss-20b,summarization,sum_technology,gpt-oss-20b,10.0,Accurately summarizes all key facts without adding or omitting anything.,6.667
gpt-oss-20b,summarization,sum_technology,gpt-oss-120b,10.0,(mean of 10 repeated passes),6.667
